title,skills_desc,formatted_experience_level,work_type,location,normalized_salary,remote_allowed,views,applies
AI Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, Deep Learning, MLOps, LLMs",Entry Level,Full-time,"Seattle, WA",144327,0,403,115
Network Engineer,"Cisco, Networking, TCP/IP, Firewall, Linux, AWS, BGP, OSPF",Director,Full-time,"Los Angeles, CA",84209,1,1793,20
Data Engineer,"Python, Spark, Kafka, SQL, ETL, Airflow, AWS, Hadoop",Executive,Part-time,"Seattle, WA",143443,0,2416,412
Cybersecurity Analyst,"Network Security, Penetration Testing, SIEM, Python, Firewall, CISSP, SOC",Internship,Temporary,"Chicago, IL",95029,1,4595,217
Full Stack Developer,"React, Node.js, JavaScript, HTML, CSS, MongoDB, SQL, REST APIs",Entry Level,Part-time,"Denver, CO",82077,0,1021,489
AI Engineer,"Python, TensorFlow, PyTorch, NLP, Computer Vision, Deep Learning, MLOps, LLMs",Entry Level,Full-time,"Austin, TX",128907,1,520,405
QA Engineer,"Selenium, Python, Manual Testing, Automation, JIRA, TestNG, Agile",Entry Level,Temporary,"Los Angeles, CA",96635,1,2278,139
Cybersecurity Analyst,"Network Security, Penetration Testing, SIEM, Python, Firewall, CISSP, SOC",Entry Level,Contract,"Los Angeles, CA",128920,1,3909,180
Cybersecurity Analyst,"Network Security, Penetration Testing, SIEM, Python, Firewall, CISSP, SOC",Mid-Senior Level,Full-time,"San Francisco, CA",84873,0,1266,415
Data Analyst,"SQL, Excel, Power BI, Tableau, Python, Statistics, Data Cleaning, Reporting",Mid-Senior Level,Part-time,"Denver, CO",68635,1,4773,419
Full Stack Developer,"React, Node.js, JavaScript, HTML, CSS, MongoDB, SQL, REST APIs",Associate,Contract,Remote,113065,0,639,42
Machine Learning Engineer,"Python, TensorFlow, PyTorch, MLOps, Deep Learning, NLP, Feature Engineering, Kubernetes",Entry Level,Internship,Remote,155863,1,3599,33
Software Engineer,"Java, Python, C++, Data Structures, Algorithms, System Design, Git, Agile",Associate,Contract,"Atlanta, GA",126804,0,1560,206
NLP Engineer,"Python, NLTK, spaCy, Transformers, BERT, GPT, Text Classification, NLP",Director,Part-time,"Boston, MA",138783,1,4787,414
DevOps Engineer,"Docker, Kubernetes, Jenkins, Ansible, Terraform, AWS, Linux, CI/CD",Associate,Contract,"Chicago, IL",124152,1,4839,55
Software Engineer,"Java, Python, C++, Data Structures, Algorithms, System Design, Git, Agile",Executive,Part-time,"New York, NY",126513,1,427,283
Data Scientist,"Python, Machine Learning, Statistics, SQL, Data Visualization, TensorFlow, Deep Learning, R",Mid-Senior Level,Full-time,"New York, NY",119092,1,2959,240
NLP Engineer,"Python, NLTK, spaCy, Transformers, BERT, GPT, Text Classification, NLP",Mid-Senior Level,Temporary,"Atlanta, GA",122653,0,2193,142
NLP Engineer,"Python, NLTK, spaCy, Transformers, BERT, GPT, Text Classification, NLP",Entry Level,Internship,"Austin, TX",137463,1,2231,273
Web Developer,"HTML, CSS, JavaScript, React, PHP, MySQL, WordPress",Entry Level,Temporary,"New York, NY",94028,0,2941,94
Frontend Developer,"React, JavaScript, TypeScript, HTML, CSS, Vue.js, Figma, UX",Director,Temporary,Remote,115469,1,451,376
Blockchain Developer,"Solidity, Ethereum, Web3.js, Smart Contracts, Python, Cryptography",Internship,Temporary,"Seattle, WA",120947,1,4832,322
Data Engineer,"Python, Spark, Kafka, SQL, ETL, Airflow, AWS, Hadoop",Director,Part-time,"Boston, MA",124978,1,4008,14
Data Engineer,"Python, Spark, Kafka, SQL, ETL, Airflow, AWS, Hadoop",Executive,Part-time,"Denver, CO",117056,0,333,278
QA Engineer,"Selenium, Python, Manual Testing, Automation, JIRA, TestNG, Agile",Entry Level,Internship,Remote,89007,0,3222,348
NLP Engineer,"Python, NLTK, spaCy, Transformers, BERT, GPT, Text Classification, NLP",Entry Level,Part-time,"San Francisco, CA",148169,1,4976,230
Network Engineer,"Cisco, Networking, TCP/IP, Firewall, Linux, AWS, BGP, OSPF",Director,Part-time,"Denver, CO",118287,1,2828,203
Machine Learning Engineer,"Python, TensorFlow, PyTorch, MLOps, Deep Learning, NLP, Feature Engineering, Kubernetes",Director,Part-time,"New York, NY",154632,0,1032,430
Cloud Engineer,"AWS, Azure, GCP, Docker, Kubernetes, Terraform, CI/CD, Linux",Director,Part-time,"San Francisco, CA",143449,0,1923,355
QA Engineer,"Selenium, Python, Manual Testing, Automation, JIRA, TestNG, Agile",Mid-Senior Level,Full-time,"Denver, CO",65543,0,3600,422
